id,origin,destination,distance_km,zone,base_fare_zar
1,BELLVILLE,DURBANVILLE,12.92,Zone 3,18.0
2,BELLVILLE,NYANGA,15.81,Zone 3,18.0
3,BELLVILLE,KHAYELITSHA,22.22,Zone 4,25.0
4,BELLVILLE,MOWBRAY,24.91,Zone 4,25.0
5,GUGULETU,CLAREMONT,15.46,Zone 3,18.0
6,GUGULETU,SEA POINT,35.08,Zone 5,35.0
7,KHAYELITSHA,WYNBERG,22.4,Zone 4,25.0
8,MITCHELLS PLAIN - TOWN CENTRE,WYNBERG,26.38,Zone 4,25.0
9,LANGA,CAPE TOWN,15.4,Zone 3,18.0
10,LANGA,SEA POINT,24.45,Zone 4,25.0
11,LANGA,MOWBRAY,9.84,Zone 2,12.0
12,NYANGA,WYNBERG,14.23,Zone 3,18.0
13,NYANGA,CLAREMONT,16.18,Zone 3,18.0
14,NYANGA,ATHLONE,11.53,Zone 3,18.0
15,NYANGA,MOWBRAY,15.65,Zone 3,18.0
16,NYANGA,CAPE TOWN,23.15,Zone 4,25.0
17,WYNBERG,KHAYELITSHA,32.22,Zone 4,25.0
18,WYNBERG,CONSTANTIA,6.94,Zone 2,12.0
19,WYNBERG,CAPE TOWN,14.55,Zone 3,18.0
20,BONTEHEUWEL,MOWBRAY,10.6,Zone 3,18.0
21,CAPE TOWN,HOUT BAY,30.33,Zone 4,25.0
22,HEIDEVELD,MOWBRAY,11.72,Zone 3,18.0
23,HEIDEVELD,CAPE TOWN,18.58,Zone 3,18.0
24,OCEAN VIEW,FISH HOEK,12.31,Zone 3,18.0
25,WYNBERG,HOUTBAY,21.37,Zone 4,25.0
26,MOWBRAY,MANENBERG,13.92,Zone 3,18.0
27,KHAYELITSHA,MOWBRAY,24.43,Zone 4,25.0
28,NYANGA,PAROW,17.28,Zone 3,18.0
29,ELSIES RIVER,NYANGA,13.85,Zone 3,18.0
30,PAROW,NYANGA,13.9,Zone 3,18.0
31,BONTEHEUWEL,CAPE TOWN,11.75,Zone 3,18.0
32,KHAYELITSHA,LANGA,19.14,Zone 3,18.0
33,MITCHELLS PLAIN 3RD/7TH AVENUE,HANOVER PARK,17.15,Zone 3,18.0
34,CAPE TOWN,HEIDEVELD,19.5,Zone 3,18.0
35,MFULENI,BLACKHEATH,7.72,Zone 2,12.0
36,HANOVER PARK,CLAREMONT,7.87,Zone 2,12.0
37,BELLVILLE,MAKHAZA KHAYELITSHA,29.88,Zone 4,25.0
38,BELLVILLE,WALLACEDENE,14.24,Zone 3,18.0
39,LWANDLE,SOMERSET WEST,7.5,Zone 2,12.0
40,LWANDLE,KHAYELITSHA,34.76,Zone 4,25.0
41,THE HAGUE DELFT,MITCHELLS PLAIN,16.14,Zone 3,18.0
42,VOORBRUG DELFT,MITCHELLS PLAIN,15.22,Zone 3,18.0
43,THE HAGUE DELFT,PAROW,15.39,Zone 3,18.0
44,PAROW,UITSIG,3.95,Zone 1,8.0
45,VOORBRUG DELFT,PAROW,16.53,Zone 3,18.0
46,THE HAGUE DELFT,BELLVILLE,12.78,Zone 3,18.0
47,EINDHOVEN DELFT,CAPE TOWN,32.53,Zone 4,25.0
48,EINDHOVEN DELFT,PAROW,17.93,Zone 3,18.0
49,EINDHOVEN DELFT,ELSIES RIVER,16.07,Zone 3,18.0
50,VOORBRUG,ELSIES RIVER,14.67,Zone 3,18.0
51,UNIBELL,BELLVILLE,24.56,Zone 4,25.0
52,PAROW SANLAM CENTRE,VOORBRUG DELFT,15.05,Zone 3,18.0
53,LOTUS RIVER,WYNBERG,8.88,Zone 2,12.0
54,MELTON ROSE,ELSIES RIVER,4.9,Zone 1,8.0
55,GRASSY PARK,WYNBERG,8.99,Zone 2,12.0
56,GRASSY PARK,MITCHELLS PLAIN,21.05,Zone 4,25.0
57,HANOVER PARK,RETREAT,17.34,Zone 3,18.0
58,HANOVER PARK,CAPE TOWN (VIA KROMBOOM),19.19,Zone 3,18.0
59,HANOVER PARK,ATHLONE,6.58,Zone 2,12.0
60,KHAYELITSHA,PAROW,22.7,Zone 4,25.0
61,PAROW STATION,BELHAR DELFT,16.51,Zone 3,18.0
62,PAROW STATION,NORWOOD,6.99,Zone 2,12.0
63,PAROW STATION,ELSIES RIVER,7.16,Zone 2,12.0
64,PAROW STATION,RAVENSMEAD,4.21,Zone 1,8.0
65,MELTON ROSE,BELLVILLE,17.56,Zone 3,18.0
66,MITCHELLS PLAIN,NORTHWOOD,6.16,Zone 2,12.0
67,HAZELDENE,SPINE RD MITCHELLS PLAIN,4.88,Zone 1,8.0
68,MITCHELLS PLAIN,TAFELSIG,5.46,Zone 2,12.0
69,SAXONWOLD,ATLANTIS,49.53,Zone 5,35.0
70,SOMERSET WEST,VIA MUSICA MACASSAR,15.27,Zone 3,18.0
71,SOMERSET WEST,VIA ALBATROS MACASSAR,16.6,Zone 3,18.0
72,SOMERSET WEST,KRAMAT,15.45,Zone 3,18.0
73,SOMERSET WEST,GORDONS BAY,17.04,Zone 3,18.0
74,N1 CITY,ELSIES RIVER,4.68,Zone 1,8.0
75,VASCO VIA N1 CITY,ELSIES RIVER,6.63,Zone 2,12.0
76,N1 CITY,MITCHELLS PLAIN,30.98,Zone 4,25.0
77,WYNBERG,HANOVER PARK,7.62,Zone 2,12.0
78,HANOVER PARK,CAPE TOWN (VIA MOWBRAY),17.67,Zone 3,18.0
79,HANOVER PARK,CAPE TOWN (VIA SETTLERS WAY),21.44,Zone 4,25.0
80,KLIPHEUWEL,BELLVILLE,64.86,Zone 5,35.0
81,KENSINGTON,CAPE TOWN,16.77,Zone 3,18.0
82,KENSINGTON,VASCO,7.89,Zone 2,12.0
83,KENSINGTON,MUTUAL STATION,4.66,Zone 1,8.0
84,MITCHELLS PLAIN,LENTEGEUR STATION,15.48,Zone 3,18.0
85,PAROW,PANORAMA,9.22,Zone 2,12.0
86,VREDEHOEK,CAPE TOWN,4.6,Zone 1,8.0
87,MITCHELLS PLAIN,NEW LENTEGEUR,7.48,Zone 2,12.0
88,MITCHELLS PLAIN,NEW LENTEGEUR (VIA HENGELAAR),5.99,Zone 2,12.0
89,MITCHELLS PLAIN,MONTROSE PARK,6.88,Zone 2,12.0
90,MELTON ROSE,DELFT,11.15,Zone 3,18.0
91,MITCHELLS PLAIN,CAPE TOWN,34.61,Zone 4,25.0
92,ELSIES RIVER,NETREG,11.39,Zone 3,18.0
93,CAPE TOWN,WYNBERG,14.74,Zone 3,18.0
94,CAPE TOWN,HOUT BAY (VIA HIGH LEVEL RD),29.87,Zone 4,25.0
95,CAPE TOWN,HOUT BAY (VIA MAIN RD),29.83,Zone 4,25.0
96,CAPE TOWN,HOUT BAY (VIA KLOOF RD),26.41,Zone 4,25.0
97,CAPE TOWN,HOUT BAY (VIA WESTERN BLVD),30.05,Zone 4,25.0
98,SEA POINT,NYANGA,32.44,Zone 4,25.0
99,PELLA,MALMESBURY,45.15,Zone 5,35.0
100,PELLA,DARLING,19.38,Zone 3,18.0
101,PELLA,ATLANTIS,8.77,Zone 2,12.0
102,GRASSY PARK,VIA PLUMSTEAD - WYNBERG,7.53,Zone 2,12.0
103,GRASSY PARK,VIA VICTORIA RD - WYNBERG,8.99,Zone 2,12.0
104,VOORBRUG DELFT,BELLVILLE,14.92,Zone 3,18.0
105,MITCHELLS PLAIN,VIA MOWBRAY - CAPE TOWN,34.34,Zone 4,25.0
106,MITCHELLS PLAIN,VIA MERRYDALE - CAPE TOWN,38.03,Zone 5,35.0
107,MITCHELLS PLAIN,VIA BELGRAVIA - CAPE TOWN,37.79,Zone 5,35.0
108,MITCHELLS PLAIN,GROOTTE SCHUUR HOSPITAL,40.45,Zone 5,35.0
109,BELLVILLE,BELLVILLE SOUTH,6.58,Zone 2,12.0
110,BELLVILLE,EERSTE RIVER,21.05,Zone 4,25.0
111,BELLVILLE,TYGERBERG HOSPITAL,6.4,Zone 2,12.0
112,BELLVILLE,KARL BREMMER HOSPITAL,4.15,Zone 1,8.0
113,BELLVILLE,CAPE TOWN,24.06,Zone 4,25.0
114,VOORBRUG DELFT,CAPE TOWN,33.19,Zone 4,25.0
115,MELTON ROSE,EERSTE RIVER,10.79,Zone 3,18.0
116,FALSE BAY,GRASSY PARK,10.01,Zone 3,18.0
117,MUTUAL STATION,RICHWOOD,26.03,Zone 4,25.0
118,CAPE TOWN,SOMERSET HOSPITAL,3.16,Zone 1,8.0
119,KHAYELITSHA,CLAREMONT,24.41,Zone 4,25.0
120,KHAYELITSHA,BELLVILLE,22.64,Zone 4,25.0
121,EINDHOVEN DELFT,BELLVILLE,16.32,Zone 3,18.0
122,THE HAGUE DELFT,CAPE TOWN,34.11,Zone 4,25.0
123,MANDALAY,3RD /7TH AVE MITCHELLS PLAIN,10.37,Zone 3,18.0
124,BONTEHEUWEL,ATHLONE,10.6,Zone 3,18.0
125,ATLANTIS,MELKBOSSTRAND,33.06,Zone 4,25.0
126,ATLANTIS,DARLING,12.25,Zone 3,18.0
127,ATLANTIS VIA REYGERSDAL,FABRIEKS AREA ATLANTIS,10.49,Zone 3,18.0
128,ATLANTIS VIA HOOP SINGEL,FABRIEKS AREA ATLANTIS,17.07,Zone 3,18.0
129,ATLANTIS,WESFLEUR,4.07,Zone 1,8.0
130,KOEBERG STATION,FRANKDALE,31.56,Zone 4,25.0
131,KOEBERG STATION,SANDDRIFT,19.86,Zone 3,18.0
132,KOEBERG STATION,MONTAGUE GARDENS,13.51,Zone 3,18.0
133,KOEBERG STATION,MILNERTON,8.56,Zone 2,12.0
134,KOEBERG STATION,CAMBRIDGE,7.02,Zone 2,12.0
135,LENTEGEUR STATION,TOWN CENTRE MITCHELLS PLAIN,10.65,Zone 3,18.0
136,NORTHWOOD,LENTEGEUR STATION,3.98,Zone 1,8.0
137,PARKWOOD,VIA LIME RD -WYNBERH,5.8,Zone 2,12.0
138,PARKWOOD,VIA BLACKBIRD WLK - WYNBERG,6.11,Zone 2,12.0
139,PARKWOOD,VIA KESTREL RD - WYNBERG,6.09,Zone 2,12.0
140,PARKWOOD,VIA PLANTATION RD - WYNBERG,6.18,Zone 2,12.0
141,PARKWOOD,VIA WALMER RD - WYNBERG,13.58,Zone 3,18.0
142,PARKWOOD,SOUTHFIELD,8.36,Zone 2,12.0
143,LANGA,ATHLONE,6.32,Zone 2,12.0
144,NYANGA,NYANGA STATION,3.55,Zone 1,8.0
145,CROSS ROADS,WYNBERG,17.54,Zone 3,18.0
146,KHAYELITSHA,ELSIES RIVER,22.81,Zone 4,25.0
147,THE HAGUE DELFT,ELSIES RIVER,13.53,Zone 3,18.0
148,KOEBERG STATION,MITCHELLS PLAIN,32.07,Zone 4,25.0
149,BONTEHEUWEL,SILVERTOWN,17.76,Zone 3,18.0
150,TABLE VIEW,KOEBERG STATION,21.95,Zone 4,25.0
151,MITCHELLS PLAIN,LONDON VILLAGE,14.24,Zone 3,18.0
152,UNIBELL,BELLVILLE STATION,17.24,Zone 3,18.0
153,RED CROSS HOSPITAL,ELSIES RIVER,21.66,Zone 4,25.0
154,NYANGA,SEA POINT,32.41,Zone 4,25.0
155,WALLACEDENE,BELLVILLE,14.25,Zone 3,18.0
156,BRACKENFELL,BLOEKOMBOS (VIA WALLACEDENE),15.89,Zone 3,18.0
157,BELLVILLE,EVERSDAL,15.65,Zone 3,18.0
158,EIKENFONTEIN,WALLACEDENE,8.22,Zone 2,12.0
159,MACASSAR,SOMERSET WEST (VIA MADALABOS),20.13,Zone 4,25.0
160,MACASSAR,SOMERSET WEST (VIA ZANDVLIET RD),18.05,Zone 3,18.0
161,MACASSAR,SOMERSET WEST (VIA DE BEERS),24.44,Zone 4,25.0
162,MACASSAR,FIRGROVE (VIA R102),8.8,Zone 2,12.0
163,MACASSAR,SOMERSET WEST (VIA FIRGROVE),20.14,Zone 4,25.0
164,MACASSAR,SOMERSET WEST (VIA R102),15.58,Zone 3,18.0
165,MACASSAR,SOMERSET WEST,15.1,Zone 3,18.0
166,MACASSAR,BLACKHEATH,19.99,Zone 3,18.0
167,MACASSAR,EERSTE RIVER,13.24,Zone 3,18.0
168,FIRGROVE,SOMERSET WEST (VIA,10.61,Zone 3,18.0
169,FIRGROVE,MACASSAR,3.27,Zone 1,8.0
170,FIRGROVE,EERSTE RIVER,11.47,Zone 3,18.0
171,HANOVER PARK,LANSDOWNE,3.52,Zone 1,8.0
172,MACASSAR,SOMERSET WEST (VIA STEYNSRUS),13.16,Zone 3,18.0
173,V & A WATERFRONT,CAPE TOWN CAPTOUR,3.8,Zone 1,8.0
174,V & A WATERFRONT,CAPE TOWN INTERSITE,3.61,Zone 1,8.0
175,V & A WATERFRONT,CAPE TOWN OLD MARINE RD,3.88,Zone 1,8.0
176,V & A WATERFRONT,CABLE WAY STATION,16.53,Zone 3,18.0
177,V & A WATERFRONT,CAPE TOWN INTERNATIONAL AIRPORT,28.07,Zone 4,25.0
178,ATLANTIS,DUINEFONTEIN MELKBOS STRAND,28.99,Zone 4,25.0
179,ATLANTIS,FABRIEKS AREA ATLANTIS,7.91,Zone 2,12.0
180,ATLANTIS,SAXON SEA ATLANTIS,3.68,Zone 1,8.0
181,ATLANTIS,MALMESBURY,36.54,Zone 5,35.0
182,MAMRE,FABRIEKS AREA ATLANTIS,15.3,Zone 3,18.0
183,MAMRE,FABRIEKS AREA ATLANTIS (VIA ATLANTIS),35.88,Zone 5,35.0
184,MAMRE,DARLING,37.57,Zone 5,35.0
185,MAMRE,CAPE TOWN (VIA KILLARNEY),79.59,Zone 5,35.0
186,CAPE TOWN,CAMPS BAY (VIA HIGH LEVEL RD),13.45,Zone 3,18.0
187,CAPE TOWN,CAMPS BAY (VIA MAIN RD),13.42,Zone 3,18.0
188,CAPE TOWN,CAMPS BAY (VIA KLOOF RD),12.01,Zone 3,18.0
189,CAPE TOWN,CAMPS BAY (VIA WESTERN BLVD),13.63,Zone 3,18.0
190,RETREAT,GRASSY PARK,8.83,Zone 2,12.0
191,RETREAT,RETREAT,4.94,Zone 1,8.0
192,MANENBERG,CLAREMONT,13.94,Zone 3,18.0
193,MANENBERG,MOWBRAY,13.84,Zone 3,18.0
194,MANENBERG,CAPE TOWN,20.78,Zone 4,25.0
195,HOUT BAY,WYNBERG,21.43,Zone 4,25.0
196,CAPE TOWN,GARDENS,5.13,Zone 2,12.0
197,CAPE TOWN,ORANJEZICHT,5.56,Zone 2,12.0
198,CAPE TOWN,CABLE WAY STATION,14.16,Zone 3,18.0
199,GRASSY PARK,HANOVER PARK,10.33,Zone 3,18.0
200,KHAYELITSHA,SEA POINT,40.12,Zone 5,35.0
201,MITCHELLS PLAIN,WYNBERG,30.92,Zone 4,25.0
202,TYGERBERG HOSPITAL,ELSIES RIVER,11.26,Zone 3,18.0
203,TYGERBERG HOSPITAL,PAROW,5.64,Zone 2,12.0
204,TYGERBERG HOSPITAL,TYGERBERG RAILWAY STATION,4.47,Zone 1,8.0
205,TYGERBERG HOSPITAL,BELLVILLE,6.27,Zone 2,12.0
206,TYGERBERG HOSPITAL,DELFT,20.81,Zone 4,25.0
207,CAPE TOWN,WYNBERG (VIA M3),15.28,Zone 3,18.0
208,BELHAR,BELLVILLE,12.39,Zone 3,18.0
209,HAZELDENE,ROCKLANDS,6.07,Zone 2,12.0
210,HAZELDENE,WESTRIDGE,3.52,Zone 1,8.0
211,HAZELDENE,WESTGATE MALL,5.15,Zone 2,12.0
212,HAZELDENE,WESTGATE MALL (VIA SILVERSANDS),4.93,Zone 1,8.0
213,HAZELDENE,WESTGATE MALL (VIA KAPTEINSKLIP),10.22,Zone 3,18.0
214,HAZELDENE,WESTGATE PALMS,6.65,Zone 2,12.0
215,HAZELDENE,N1 CITY,32.94,Zone 4,25.0
216,RETREAT,RETREAT STATION,5.45,Zone 2,12.0
217,BELLVILLE,CAPE TOWN (VIA N1 CITY),28.09,Zone 4,25.0
218,STEENBERG,WESTLAKE,4.97,Zone 1,8.0
219,STEENBERG,TOKAI,2.69,Zone 1,8.0
220,MITCHELLS PLAIN,LOST CITY,6.36,Zone 2,12.0
221,GROOTTE SCHUUR HOSPITAL,CAPE TOWN,5.53,Zone 2,12.0
222,GROOTTE SCHUUR HOSPITAL,WYNBERG,9.94,Zone 2,12.0
223,GROOTTE SCHUUR HOSPITAL,MITCHELLS PLAIN,29.72,Zone 4,25.0
224,ATLANTIS,MELKBOS STRAND,31.67,Zone 4,25.0
225,SOMERSET WEST,LOURENSFORD(SOMERSET WEST),11.99,Zone 3,18.0
226,SOMERSET WEST,DRAMA STREET(SOMERSET WEST),7.77,Zone 2,12.0
227,SOMERSET WEST,UPPER MOUNTAIN STREET(SOMERSET WEST),9.1,Zone 2,12.0
228,SOMERSET WEST,RUE MOUNT PELLAR(SOMERSET WEST),12.31,Zone 3,18.0
229,SOMERSET WEST,KRAMAT WAY(MACASSAR),20.8,Zone 4,25.0
230,SOMERSET WEST,LINK AVENUE WAY(MACASSAR),18.69,Zone 3,18.0
231,SOMERSET WEST,STRAND,11.24,Zone 3,18.0
232,SOMERSET WEST,SIR LOWRYS PASS TOWN,19.8,Zone 3,18.0
233,SOMERSET WEST,RIVERTON STREET(SOMERSET WEST),10.59,Zone 3,18.0
234,SOMERSET WEST,DIAZ STREET(SOMERSET WEST),3.01,Zone 1,8.0
235,SOMERSET WEST,LOURENS STREET(SOMERSET WEST),2.71,Zone 1,8.0
236,SOMERSET WEST,RAILWAY STATION(SOMERSET WEST),1.74,Zone 1,8.0
237,SOMERSET WEST,VICTORIA PARK,2.61,Zone 1,8.0
238,SOMERSET WEST,ADVANCED MEDICAL TECHNOLOGY(SOMERSET WEST),4.69,Zone 1,8.0
239,HANOVER PARK,CAPE TOWN,21.95,Zone 4,25.0
240,GRASSY PARK,RETREAT,4.25,Zone 1,8.0
241,WYNBERG,RETREAT,7.8,Zone 2,12.0
242,MITCHELLS PLAIN (CALYPSO SQUARE),BEACON VALLEY,2.79,Zone 1,8.0
243,CAPE TOWN,VREDEHOEK,4.43,Zone 1,8.0
244,CAPE TOWN,WALMER ESTATE,3.56,Zone 1,8.0
245,STRAND,CASSA BLANCA (STRAND),9.69,Zone 2,12.0
246,STRAND,SOMERSET WEST,6.34,Zone 2,12.0
247,STRAND,TEMPERANCE TOWN (GORDONS BAY),11.02,Zone 3,18.0
248,STRAND,MACASSAR,14.29,Zone 3,18.0
249,STRAND,SIR LOWRYS PASS TOWN,14.31,Zone 3,18.0
250,STRAND,SOMERSET WEST MALL,6.12,Zone 2,12.0
251,KILLARNEY,MAITLAND,18.47,Zone 3,18.0
252,N1 CITY,VASCO,2.92,Zone 1,8.0
253,DURBANVILLE,WALLACEDENE,11.46,Zone 3,18.0
254,VASCO,BOTHASIG,15.49,Zone 3,18.0
255,VASCO,MONTAGUE GARDENS,13.11,Zone 3,18.0
256,VASCO,PAROW (PLATTEKLOOF ROAD),13.82,Zone 3,18.0
257,MALIBU,BLACKHEATH,5.36,Zone 2,12.0
258,NORTHPINE,BRACKENFELL STATION,4.0,Zone 1,8.0
259,NORTHPINE,BRACKENFELL (HYPERMARKET),3.86,Zone 1,8.0
260,NORTHPINE,BELLVILLE,11.46,Zone 3,18.0
261,NORTHPINE,WALLACEDENE,3.6,Zone 1,8.0
262,MOWBRAY,WYNBERG,8.15,Zone 2,12.0
263,MOWBRAY,CAPE TOWN,6.99,Zone 2,12.0
264,DURBANVILLE,BELLVILLE,12.63,Zone 3,18.0
265,DURBANVILLE,DURBANVILLE(ZAND DAM PLAAS),61.05,Zone 5,35.0
266,CLAREMONT,HANOVER PARK,7.75,Zone 2,12.0
267,BISHOP LAVIS,ELSIES RIVER,8.72,Zone 2,12.0
268,ELSIES RIVER,BOTHASIG,15.66,Zone 3,18.0
269,BELLVILLE,DELFT,18.21,Zone 3,18.0
270,NORTHPINE,DURBANVILLE,14.6,Zone 3,18.0
271,NORTHPINE,BLOEKOMBOS,10.33,Zone 3,18.0
272,DE NOVA,WALLACEDENE,11.8,Zone 3,18.0
273,LOTUS RIVER,HANOVER PARK,10.72,Zone 3,18.0
274,KRAAIFONTEIN,KHAYELITSHA,34.25,Zone 4,25.0
275,ATLANTIS(WESFLEUR),WITSAND,3.8,Zone 1,8.0
276,ATLANTIS(WESFLEUR),BELLVILLE,60.48,Zone 5,35.0
277,MAMRE,BELLVILLE,68.66,Zone 5,35.0
278,EERSTERIVIER,DEVON PARK,5.98,Zone 2,12.0
279,MAITLAND,MITCHELLS PLAIN,32.41,Zone 4,25.0
280,MAITLAND,FACTRETON,6.12,Zone 2,12.0
281,MAITLAND,MONTAGUE GARDENS,14.74,Zone 3,18.0
282,MAITLAND,KILLARNEY,14.21,Zone 3,18.0
283,STEENBERG,RETREAT,11.37,Zone 3,18.0
284,STEENBERG,GRASSY PARK,6.66,Zone 2,12.0
285,WYNBERG,HOUT BAY,23.35,Zone 4,25.0
286,OTTERY,WYNBERG,7.62,Zone 2,12.0
287,OTTERY,LOTUS RIVER,5.64,Zone 2,12.0
288,LOTUS RIVER,PLUMSTEAD,6.24,Zone 2,12.0
289,LOTUS RIVER,RETREAT,7.18,Zone 2,12.0
290,ELSIES RIVER,PAROW,4.91,Zone 1,8.0
291,BLACKHEATH,EERSTERIVIER,15.08,Zone 3,18.0
292,NETREG,ELSIES RIVER,11.36,Zone 3,18.0
293,LOTUS RIVER,TOKAI,9.48,Zone 2,12.0
294,LOTUS RIVER,MUIZENBERG,14.64,Zone 3,18.0
295,LOTUS RIVER,MITCHELLS PLAIN,18.24,Zone 3,18.0
