id,origin,destination,distance_km,zone,base_fare_zar
864,SAMORA MACHEL,MITCHELL'S PLAIN,10.14,Zone 3,18.0
865,LWANDLE,HELDERBERG (VIA HELDERVUE),31.46,Zone 4,25.0
866,PHILIPPI STATION TRANSPORT INTERCHANGE,MITCHELLS PLAIN,15.19,Zone 3,18.0
867,NYANGA STATION PUBLIC TRANSPORT INTERCHANGE,MITCHELLS PLAIN (VIA FEZEKA),14.63,Zone 3,18.0
868,ATHLONE,BRIDGETOWN (VIA VANGATE MALL),5.73,Zone 2,12.0
869,IMIZAMO YETHU,HOUT BAY DAY HOSPITAL,5.16,Zone 2,12.0
870,IMIZAMO YETHU,SHOPRITE HOUT BAY,3.43,Zone 1,8.0
871,KENSINGTON,"BELLVILLE (VIA CAPE TOWN, N1, VANGUARD DR & VOORTREKKER RD)",41.38,Zone 5,35.0
872,KENSINGTON,"BELLVILLE (VIA CAPE TOWN, N1 & DURBAN RD)",41.31,Zone 5,35.0
873,LANGA,"BELLVILLE (VIA N2, CAPE TOWN, N1, VANGUARD DR & VOORTREKKER RD)",43.58,Zone 5,35.0
874,LANGA,"BELLVILLE (VIA N2, CAPE TOWN, N1, & DURBAN RD)",43.51,Zone 5,35.0
875,KHAYELITSHA SITE C,"BELLVILLE (VIA N2, CAPE TOWN, N1, VANGUARD DR & VOORTREKKER RD)",60.99,Zone 5,35.0
876,KHAYELITSHA SITE C,"BELLVILLE (VIA N2, CAPE TOWN, N1, & DURBAN RD)",60.93,Zone 5,35.0
877,MFULENI,TYGERBERG RAILWAY STATION (VIA ELSIES RIVER & PAROW),33.2,Zone 4,25.0
878,MFULENI,ELSIES RIVER,24.68,Zone 4,25.0
879,LWANDLE,SIR LOWRYS PASS,7.63,Zone 2,12.0
880,MAITLAND STATION,KILLARNEY & DU NOON (VIA N1 & N7),21.37,Zone 4,25.0
881,MAITLAND STATION,SUMMER GREENS(VIA N1 FREEWAY),12.69,Zone 3,18.0
882,MAITLAND STATION,SUMMER GREENS (VIA SANDRIFT),12.4,Zone 3,18.0
883,MAITLAND STATION,"WEST BEACH, SUNNINGDALE & PARKLANDS",28.59,Zone 4,25.0
884,MAITLAND STATION,KILLARNAY & DU NOON (VIA KOEBERG ROAD),18.34,Zone 3,18.0
885,MAITLAND STATION,MILNERTON RIDGE (VIA ASCOT VILLAGE),13.13,Zone 3,18.0
886,MAITLAND STATION,PARKLANDS (VIA KOEBERG ROAD),22.4,Zone 4,25.0
887,LANGA,CENTURY CITY,16.16,Zone 3,18.0
888,WYNBERG,HOUT BAY (VIA VICTORIA HOSPITAL),21.84,Zone 4,25.0
889,SUBURBAN BLISS,TYGERBERG STATION (VIA TYGERBERG HOSPITAL),24.28,Zone 4,25.0
890,MUTUAL STATION,BOTHASIG,19.95,Zone 3,18.0
891,ROOSENDAL,BELLVILLE,13.1,Zone 3,18.0
892,KOEBERG STATION,PARKLANDS,18.44,Zone 3,18.0
893,MITCHELLS PLAIN,"CLAREMONT (VIA MERRYDALE, DUINEFONTEIN & PHILLIPPI RING RD)",29.58,Zone 4,25.0
894,MITCHELLS PLAIN,"CLAREMONT (VIA MERRYDALE, LANSDOWNE, JAN SMUTS DR & TURFHALL)",27.2,Zone 4,25.0
895,MITCHELLS PLAIN,"CLAREMONT (VIA ROCKLANDS, WESTGATE MALL, OLD LANSDOWNE, HEINS & TURFHALL)",30.33,Zone 4,25.0
896,NYANGA,TYGERBERG STATION (VIA TYGERBERG HOSPITAL),23.55,Zone 4,25.0
897,MACASSAR,EERSTE RIVIER STASIE,13.56,Zone 3,18.0
898,MELKBOSSTRAND,ATLANTIS,33.06,Zone 4,25.0
899,CAPE TOWN,KOEBERG STATION,7.01,Zone 2,12.0
900,SANDRIFT,KOEBERG STATION,8.6,Zone 2,12.0
901,MONTAGUE GARDENS,KOEBERG STATION,11.67,Zone 3,18.0
902,MILNERTON,KOEBERG STATION,10.3,Zone 3,18.0
903,CAMBRIDGE,KOEBERG STATION,7.4,Zone 2,12.0
904,KOEBERG STATION,TABLEVIEW,21.84,Zone 4,25.0
905,CAPE TOWN,MAMRE (VIA KILLARNEY),79.59,Zone 5,35.0
906,TABLEVIEW,YSTERPLAAT,20.45,Zone 4,25.0
907,TABLE VIEW,DU NOON,9.51,Zone 2,12.0
908,DU NOON,TABLEVIEW,9.5,Zone 2,12.0
909,TABLE VIEW,MORNINGSTAR,17.91,Zone 3,18.0
910,MORNINGSTAR,TABLEVIEW,17.93,Zone 3,18.0
911,CAPE TOWN,TABLEVIEW (VIA SUMMER GREENS & MONTAGUE GARDENS),28.7,Zone 4,25.0
912,YSTERPLAAT STATION,TABLEVIEW,16.33,Zone 3,18.0
913,KOEBERG STATION,TABLEVIEW (VIA N1 & MONTAGUE GARDENS),22.1,Zone 4,25.0
914,KOBERG STATION,TABLEVIEW (VIA RACECOURSE),16.09,Zone 3,18.0
915,KOBERG STATION,TABLEVIEW (VIA LOXTON ROAD),15.82,Zone 3,18.0
916,KOBERG STATION,TABLEVIEW (VIA BOUNDARY ROAD),16.22,Zone 3,18.0
917,KOEBERG STATION,KILLARNEY,15.3,Zone 3,18.0
918,CAPE TOWN,KILLARNEY (VIA SUMMER GREENS & MONTAGUE GARDENS),25.98,Zone 4,25.0
919,KOEBEGR STATION,KILLARNEY,15.75,Zone 3,18.0
920,KILLARNEY,DU NOON,3.96,Zone 1,8.0
921,DE NOON,KILLARNEY,3.93,Zone 1,8.0
922,KOBERG STATION,"KILLARNEY (VIA N1, N7 & MONTAGUE GARDENS)",18.26,Zone 3,18.0
923,MORNINGSTAR,KILLARNEY,18.56,Zone 3,18.0
924,KOEBERG STATION,DOLPHIN BEACH,22.29,Zone 4,25.0
925,SUMMERGREENS,KOEBERG STATION,10.92,Zone 3,18.0
926,KILLARNEY,KOEBERG STATION,13.98,Zone 3,18.0
927,PAARDEN EILAND,KOEBERG STATION,8.53,Zone 2,12.0
928,YSTERPLAAT STATION,KOEBERG STATION,2.7,Zone 1,8.0
929,MELKBOSSTRAND,KOEBERG STATION,46.69,Zone 5,35.0
930,KOBERG STATION,MONTAGUE GARDENS,12.87,Zone 3,18.0
931,BOTHASIG,DU NOON,13.43,Zone 3,18.0
932,MAITLAND STATION,DU NOON,17.32,Zone 3,18.0
933,TABLEVIEW BAYSIDE CENTRE,KOEBERG STATION,18.01,Zone 3,18.0
934,TABLEVIEW BAYSIDE CENTRE,KEOBERG STATION,18.01,Zone 3,18.0
935,TABLEVIEW BAYSIDE CENTRE,GOODWOOD STATION,19.87,Zone 3,18.0
936,MONTAGUE GARDENS,GOODWOOD STATION,18.23,Zone 3,18.0
937,KILLARNEY,KHAYELITSHA (VIA MAITLAND & GOODWOOD),50.89,Zone 5,35.0
938,MONTAGUE GARDENS,DU NOON,9.58,Zone 2,12.0
939,JOE SLOVO PARK,DU NOON,11.8,Zone 3,18.0
940,GOODWOOD,RATANGA JUNCTION,9.89,Zone 2,12.0
941,GOODWOOD,RATANGA JUNCTION (VIA SUMMER GREENS & MONTAGUE GARDENS),18.42,Zone 3,18.0
942,MAITLAND,YSTERPLAAT,2.76,Zone 1,8.0
943,PARKLANDS,YSTERPLAAT,18.02,Zone 3,18.0
944,MONTAGUE GARDENS,YSTERPLAAT,10.21,Zone 3,18.0
945,METRO INDUSTRY (PAARDEN EILAND),YSTERPLAAT,4.72,Zone 1,8.0
946,CAPE TOWN,DU NOON,21.56,Zone 4,25.0
947,SUMMER GREENS,DU NOON,11.18,Zone 3,18.0
948,PARKLANDS,DU NOON,12.25,Zone 3,18.0
949,KILLARNEY,GUGULETU,24.47,Zone 4,25.0
950,MONTAGUE GARDENS,CAPE TOWN STATION (VIA SANDRIFT),17.7,Zone 3,18.0
951,CAPE TOWN (STATION DECK),MILNERTON,15.14,Zone 3,18.0
952,CAPE TOWN STATION,DU NOON,22.65,Zone 4,25.0
953,SUMMERGREENS,CAPE TOWN STATION,19.04,Zone 3,18.0
954,CAMBRIDGE,CAPE TOWN STATION,13.38,Zone 3,18.0
955,SANDRIFT,YSTERPLAAT,10.91,Zone 3,18.0
956,MILNERTON,YSTERPLAAT,12.15,Zone 3,18.0
957,CAMBRIDGE,YSTERPLAAT,9.16,Zone 2,12.0
958,MONTAGUE GARDENS,YSTERPLAAT (VIA SANDRIFT),15.05,Zone 3,18.0
959,CAPE TOWN,YSTERPLAAT,9.41,Zone 2,12.0
960,DU NOON,MAITLAND,19.5,Zone 3,18.0
961,MELKBOSSTRAND,CAPE TOWN,27.81,Zone 4,25.0
962,MILNERTON,CAPE TOWN,12.37,Zone 3,18.0
963,SUMMER GREENS,MAITLAND,14.46,Zone 3,18.0
964,PARKLANDS,MAITLAND,19.4,Zone 3,18.0
965,MILNERTON RIDGE,MAITLAND,13.77,Zone 3,18.0
966,YSTERPLAAT,SUMMER GREENS,11.73,Zone 3,18.0
967,SUMMER GREENS,YSTERPLAAT,11.69,Zone 3,18.0
968,YSTERPLAAT,TABLEVIEW,17.12,Zone 3,18.0
969,YSTERPLAAT,METRO,5.7,Zone 2,12.0
970,METRO,YSTERPLAAT,5.73,Zone 2,12.0
971,PARKLANDS,KOEBERG STATION,24.38,Zone 4,25.0
972,ATLANTIS,CAPE TOWN,60.27,Zone 5,35.0
973,PELLA,CAPE TOWN,72.08,Zone 5,35.0
974,NYANGA,KILLARNEY,73.44,Zone 5,35.0
975,MAITLAND,KOEBERG POWER STATION/MELLKBOS,38.15,Zone 5,35.0
976,PELLA,MONTAGUE GARDENS,63.14,Zone 5,35.0
977,KOEBERG STATION,CAPE TOWN (VIA MELKBOS STRAND),90.87,Zone 5,35.0
978,KOEBERG STATION,MELKBOSSTRAND,31.57,Zone 4,25.0
979,KOEBERG,ATLANTIS (VIA TABLE VIEW),63.62,Zone 5,35.0
980,MAMRE,KILLARNEY,56.51,Zone 5,35.0
981,YSTERPLAAT,KOEBERG POWER STATION,37.71,Zone 5,35.0
982,ATLANTIS,KILLARNEY,48.31,Zone 5,35.0
983,KILLARNEY,KOEBERG POWER STATION,27.54,Zone 4,25.0
984,TABLE VIEW,MELKBOS STRAND,23.88,Zone 4,25.0
985,TABLE VIEW,MELKBOSSTRAND,15.73,Zone 3,18.0
986,KILLARNEY,MELKBOSSTRAND,21.95,Zone 4,25.0
987,KOEBERG RAILWAY STATION,MELKBOSSTRAND,39.67,Zone 5,35.0
988,DU NOON,TABLE VIEW - MELKBOSSTRAND,21.92,Zone 4,25.0
989,SAMORA MACHEL,MELKBOSSTRAND - KILLARNEY,76.04,Zone 5,35.0
990,GUGULETU,KILLARNEY (VIA MELKBOSSTRAND),71.82,Zone 5,35.0
991,GUGULETU,KILLARNEY,82.48,Zone 5,35.0
992,SURBURBAN BLISS,KILLARNEY,85.33,Zone 5,35.0
993,CAPE TOWN (STATION DECK),KOEBERG POWER STATION,46.36,Zone 5,35.0
994,CAPE TOWN (STATION DECK),TABLE VIEW - MELKBOSSTRAND,36.09,Zone 5,35.0
995,KHAYELITSHA SITE C,MELKBOS,52.52,Zone 5,35.0
996,YSTERPLAAT RAILWAY STATION,KOEBERG POWER STATION,37.23,Zone 5,35.0
997,PHILIPPI,KILLARNEY (VIA MELKBOSSTRAND),77.19,Zone 5,35.0
998,YSTERPLAAT,CAPE TOWN (VIA MELKBOSSTRAND),90.14,Zone 5,35.0
999,MFULENI,"KILLARNEY (VIA PLATTEKLOOF, BLAAUWBERG, MELKBOSSTRAND, POTSDAM)",0.47,Zone 1,8.0
1000,MAITLAND STATION,3RD STEEN BIG BAY (VIA PAARDEN EILAND),24.36,Zone 4,25.0
1001,KILLARNEY,NYANGA,73.9,Zone 5,35.0
1002,KILLARNEY,KHAYELITSHA (VIA MELKBOSSTRAND),110.26,Zone 5,35.0
1003,KOEBERG POWER STATION,MAITLAND,44.43,Zone 5,35.0
1004,CAPE TOWN,PELLA,69.81,Zone 5,35.0
1005,MONTAGUE GARDENS,PELLA,63.15,Zone 5,35.0
1006,MELKBOSSTRAND,KOEBERG STATION (VIA TABLEVIEW),37.48,Zone 5,35.0
1007,KILLARNEY,MAMRE,57.6,Zone 5,35.0
1008,KILLARNEY,WESFLEUR ATLANTIS,49.9,Zone 5,35.0
1009,KOEBERG POWER STATION,KILLARNEY,27.11,Zone 4,25.0
1010,MELKBOSSTRAND,TABLEVIEW,23.39,Zone 4,25.0
1011,MELKBOSSTRAND,KILLARNEY (VIA SANDOWN),21.65,Zone 4,25.0
1012,MELKBOSSTRAND,KILLARNEY,19.28,Zone 3,18.0
1013,MELKBOSSTRAND,DU NOON ( VIA TABLEVIEW),21.87,Zone 4,25.0
1014,KILLARNEY,SAMORA MACHEL (VIA MELKBOSSTRAND),76.48,Zone 5,35.0
1015,KILLARNEY,GUGULETU (VIA MELKBOSSTRAND),72.21,Zone 5,35.0
1016,CAPE TOWN (STATION DECK),MELKBOSSTRAND,64.94,Zone 5,35.0
1017,MELKBOSSTRAND,CAPE TOWN STATION (VIA TABLEVIEW),43.88,Zone 5,35.0
1018,KHAYELITSHA SITE C,BLAAUWBERG,54.13,Zone 5,35.0
1019,BLAAUWBERG,KHAYELITSHA SITE C,55.33,Zone 5,35.0
1020,KOEBERG POWER STATION,YSTERPLAAT,40.37,Zone 5,35.0
1021,KILLARNEY,PHILIPPI,77.91,Zone 5,35.0
1022,YSTERPLAAT,TABLE VIEW,27.16,Zone 4,25.0
1023,PAARDEN EILAND,BLAAUWBERG,22.84,Zone 4,25.0
1024,BLAAUWBERG,PAARDEN EILAND,22.91,Zone 4,25.0
1025,MAITLAND,BLOUBERG STRAND,21.43,Zone 4,25.0
1026,BLOUBERGSTRAND,KOEBERG RAILWAY STATION,25.95,Zone 4,25.0
1027,KOEBERG STATION,BLOUBERGSTRAND,26.12,Zone 4,25.0
1028,YSTERPLAAT RAILWAY STATION,TABLEVIEW,26.37,Zone 4,25.0
1029,ATLANTIS,MONTAGUE GARDENS,51.57,Zone 5,35.0
1030,ATLANTIS,CAPE TOWN (VIA PAARDEN EILAND),63.14,Zone 5,35.0
1031,MAMRE,CAPE TOWN,67.45,Zone 5,35.0
1032,ATLANTIS,CAPE TOWN (STATION DECK),62.29,Zone 5,35.0
1033,ATLANTIS(WESFLEUR),CAPE TOWN,62.09,Zone 5,35.0
1034,TABLE VIEW,ATLANTIS,40.84,Zone 5,35.0
1035,MAMRE,MONTAGUE GARDENS,60.35,Zone 5,35.0
1036,WESFLEUR,KILLARNEY,45.48,Zone 5,35.0
1037,ATLANTIS(WESFLEUR),CENTURY CITY(RATANGA),61.57,Zone 5,35.0
1038,CAPE TOWN,ATLANTIS,60.49,Zone 5,35.0
1039,ATLANTIS,KOEBERG STATION (VIA TABLEVIEW),67.4,Zone 5,35.0
1040,MONTAGUE GARDENS,WESFLEUR ATLANTIS,51.56,Zone 5,35.0
1041,FRANKDALE,KOEBERG STATION,44.65,Zone 5,35.0
1042,CAPE TOWN,WESFLEUR ATLANTIS,59.33,Zone 5,35.0
1043,CAPE TOWN,WESFLEUR ATLANTIS (VIA PAARDEN EILAND),63.17,Zone 5,35.0
1044,CAPE TOWN,MAMRE,67.37,Zone 5,35.0
1045,MONTAGUE GARDENS,SAXONSEA ATLANTIS (VIA TABLEVIEW),54.43,Zone 5,35.0
1046,CAPE TOWN,SAXONSEA ATLANTIS,62.21,Zone 5,35.0
1047,CAPE TOWN,SAXONSEA ATLANTIS (VIA PAARDEN EILAND),66.08,Zone 5,35.0
1048,ATLANTIS,TABLEVIEW,40.67,Zone 5,35.0
1049,MONTAGUE GARDENS,MAMRE,60.34,Zone 5,35.0
1050,CAPE TOWN,VREDENBURG,121.15,Zone 5,35.0
1051,CAPE TOWN,LAMBERTSBAAI,121.15,Zone 5,35.0
1052,VREDENBURG,CAPE TOWN,121.23,Zone 5,35.0
1053,LAMBERTSBAAI,CAPE TOWN,121.23,Zone 5,35.0
1054,SALDANHA,CAPE TOWN,121.23,Zone 5,35.0
1055,CAPE TOWN,SALDANHA,121.15,Zone 5,35.0
1056,CENTURY CITY,WESFLEUR ATLANTIS,61.76,Zone 5,35.0
1057,FRANKDALE,CAPE TOWN STATION,50.28,Zone 5,35.0
1058,KOEBERG POWER STATION,CAPE TOWN STATION,47.57,Zone 5,35.0
1059,FRANKDALE,YSTERPLAAT,47.42,Zone 5,35.0
1060,KOEBERG STATION,DU NOON,21.98,Zone 4,25.0
1061,DU NOON,KOEBERG STATION,22.5,Zone 4,25.0
1062,KOEBERG STATION,"TABLEVIEW (VIA N1, N7 & PLATTEKLOOF)",25.01,Zone 4,25.0
1063,TABLEVIEW,"KOEBERG STATION (VIA PLATTEKLOOF, N7 & N1)",18.49,Zone 3,18.0
1064,KOEBERG STATION,GOODWOOD,15.05,Zone 3,18.0
1065,GOODWOOD,KOEBERG STATION,13.35,Zone 3,18.0
1066,STEENBERG,WESTLAKE - BLUE ROUTE,10.84,Zone 3,18.0
1067,KHAYELITSHA,KILLARNEY,109.29,Zone 5,35.0
1068,SURBURBAN BLISS,TYGERBERG STATION,22.27,Zone 4,25.0
1069,WESBANK,TYGERBERG,19.89,Zone 3,18.0
1070,WESBANK,TYGERBERG STATION,15.23,Zone 3,18.0
1071,WESBANK,ELSIES RIVER,16.53,Zone 3,18.0
1072,WESBANK,CAPE TOWN STATION,32.93,Zone 4,25.0
1073,SHOPRITE KUILSRIVER,ZEVENWACHT MALL,8.05,Zone 2,12.0
1074,PHILIPPI,MITCHELL'S PLAIN,10.34,Zone 3,18.0
1075,NYANGA,MITCHELL'S PLAIN,10.88,Zone 3,18.0
1076,GUGULETHU,MUTUAL,16.07,Zone 3,18.0
1077,GUGULETHU,BELLVILLE,50.53,Zone 5,35.0
1078,SAMORA MACHEL,NYANGA JUNCTION,4.58,Zone 1,8.0
1079,MELTON ROSE,ZEVENWACHT MALL,7.22,Zone 2,12.0
1080,WALLACEDENE,BRACKENFELL,7.25,Zone 2,12.0
1081,MITCHELL'S PLAIN,MITCHELL'S PLAIN,6.18,Zone 2,12.0
1082,WESTLAKE,WYNBERG (CONSTANTIA),16.26,Zone 3,18.0
1083,NYANGA,CENTURY CITY (VIA BOSMANSDAM ROAD),23.78,Zone 4,25.0
1084,NYANGA,CENTURY CITY (VIA N1 - SABLE ROAD),22.96,Zone 4,25.0
1085,PHILIPPI STATION,KILLARNEY,31.46,Zone 4,25.0
1086,VRYGROND,FISH HOEK,11.09,Zone 3,18.0
1087,VRYGROND,KHAYELITSHA,84.93,Zone 5,35.0
1088,VRYGROND,MUIZENBERG,5.02,Zone 2,12.0
1089,TYGERBERG STATION,SURBURBAN BLISS,22.54,Zone 4,25.0
1090,PHILIPPI,LANGA,14.29,Zone 3,18.0
1091,LANGA,PHILIPPI,13.99,Zone 3,18.0
1092,ELSIES RIVER,WESBANK,16.53,Zone 3,18.0
1093,CAPE TOWN,WESBANK,33.06,Zone 4,25.0
1094,ZEVENWACHT MALL,SHOPRITE KUILSRIVER,8.09,Zone 2,12.0
1095,MITCHELL'S PLAIN,PHILIPPI,10.55,Zone 3,18.0
1096,MITCHELL'S PLAIN,NYANGA (VIA SAMORA MACHEL),21.2,Zone 4,25.0
1097,MUTUAL,GUGULETHU,15.66,Zone 3,18.0
1098,MITCHELL'S PLAIN,NYANGA,16.88,Zone 3,18.0
1099,ZEVENWACHT MALL,MELTON ROSE,7.13,Zone 2,12.0
1100,BRACKENFELL,WALLACEDENE,11.51,Zone 3,18.0
1101,WYNBERG (CONSTANTIA),WESTLAKE,16.32,Zone 3,18.0
1102,CENTURY CITY (VIA BOSMANSDAM ROAD),NYANGA,24.55,Zone 4,25.0
1103,CENTURY CITY (VIA N1 - SABLE ROAD),NYANGA,23.39,Zone 4,25.0
1104,KILLARNEY,PHILIPPI STATION,32.2,Zone 4,25.0
1105,BELLVILLE,MELTON ROSE,17.48,Zone 3,18.0
1106,FISH HOEK,VRYGROND,11.26,Zone 3,18.0
1107,MUIZENBERG,VRYGROND,4.95,Zone 1,8.0
1108,MFULENI,ATHLONE,26.61,Zone 4,25.0
1109,MFULENI,MOWBRAY,29.83,Zone 4,25.0
1110,MFULENI,CLAREMONT(VIA WYNBERG),30.78,Zone 4,25.0
1111,MFULENI,WYNBERG,27.25,Zone 4,25.0
1112,MFULENI RANK,EXTENSION 3,2.49,Zone 1,8.0
1113,MFULENI,LANGA/EPPING,23.26,Zone 4,25.0
1114,MFULENI,CAPE TOWN (STATION DECK),36.0,Zone 5,35.0
1115,MFULENI,MITCHELLS PLAIN,15.13,Zone 3,18.0
1116,MFULENI,CAPE TOWN,36.14,Zone 5,35.0
1117,MFULENI,"CLAREMONT (LANSDOWNE RD, JAN SMUTS DR & TURFHALL RD)",29.17,Zone 4,25.0
1118,MFULENI,MELKBOSSTRAND - KILLARNEY,114.45,Zone 5,35.0
1119,MFULENI,KILLARNEY (VIA MELKBOSSTRAND),86.08,Zone 5,35.0
1120,KILLARNEY,MFULENI (VIA MELKBOSSTRAND & MONTAGUE GARDENS),85.92,Zone 5,35.0
1121,KILLARNEY,MFULENI (VIA MELKBOSSTRAND & PLATTEKLOOF),83.97,Zone 5,35.0
1122,MFULENI,FISH HOEK,0.47,Zone 1,8.0